timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:54:56.003288+00:00,BYBIT,AERGO/USDT:USDT,1h,bullish_engulfing,bullish,0.05459,228878.0,0.5565661496979211,True,True,2
2026-03-20T06:54:57.350724+00:00,BYBIT,AERO/USDT:USDT,1h,bearish_engulfing,bearish,0.3253,114112.0,1.1489468337267004,True,True,2
2026-03-20T06:54:59.940837+00:00,BYBIT,AGI/USDT,15m,rsi_overbought,mixed,0.01331,189684.5,2.129931307537166,True,True,2
2026-03-20T06:55:00.048409+00:00,BYBIT,AGI/USDT,1h,rsi_overbought,mixed,0.01331,1531245.77,2.396951093272028,True,True,2
2026-03-20T06:55:00.490499+00:00,BYBIT,AGI/USDT:USDT,5m,bearish_engulfing,bearish,0.013125,676400.0,1.7561697260439146,True,True,2
2026-03-20T06:55:02.152515+00:00,BYBIT,AGLD/USDT:USDT,4h,bearish_engulfing,bearish,0.24135,142729.2,2.443410800289053,True,True,2
2026-03-20T06:55:04.647189+00:00,BYBIT,AIXBT/USDT,15m,"bearish_engulfing,rsi_overbought",bearish,0.0243,121445.9,0.7052253439718297,True,True,3
2026-03-20T06:55:05.309730+00:00,BYBIT,AIXBT/USDT:USDT,15m,"bearish_engulfing,rsi_overbought",bearish,0.024277,619500.0,0.7581621024412372,True,True,3
2026-03-20T06:55:06.196951+00:00,BYBIT,AKE/USDT:USDT,4h,bullish_engulfing,bullish,0.000236,94646200.0,4.356995794621818,True,True,2
2026-03-20T06:55:06.859670+00:00,BYBIT,AKT/USDT:USDT,4h,bullish_engulfing,bullish,0.5209,1281479.2,5.285520753380885,True,True,2
2026-03-20T06:55:10.823692+00:00,BYBIT,ALLO/USDT:USDT,1h,rsi_oversold,mixed,0.11246,100518.0,1.070921878926289,True,True,2
2026-03-20T06:55:10.935706+00:00,BYBIT,ALLO/USDT:USDT,4h,rsi_oversold,mixed,0.11246,187720.0,2.758335097714321,True,True,2
2026-03-20T06:55:12.817061+00:00,BYBIT,ALT/USDT,1h,bullish_engulfing,bullish,0.007531,891916.87,1.031896776084455,True,True,2
2026-03-20T06:55:12.928736+00:00,BYBIT,ALT/USDT,4h,bearish_engulfing,bearish,0.007531,1251894.95,2.4730755641200184,True,True,2
2026-03-20T06:55:13.477177+00:00,BYBIT,ALT/USDT:USDT,1h,bullish_engulfing,bullish,0.007516,6644431.0,1.0932197693710723,True,True,2
2026-03-20T06:55:13.586774+00:00,BYBIT,ALT/USDT:USDT,4h,bearish_engulfing,bearish,0.007516,10135023.0,2.5460614348645607,True,True,2
2026-03-20T06:55:14.250144+00:00,BYBIT,AMI/USDT,4h,bullish_engulfing,bullish,0.00824,564186.1,0.7214879874217498,True,True,2
2026-03-20T06:55:16.925332+00:00,BYBIT,ANKR/USDT,4h,bearish_engulfing,bearish,0.004757,5163915.0,5.15610299883862,True,True,2
2026-03-20T06:55:17.589226+00:00,BYBIT,ANKR/USDT:USDT,4h,bearish_engulfing,bearish,0.004755,66041696.0,4.559205287277803,True,True,2
2026-03-20T06:55:19.610021+00:00,BYBIT,APE/USDT:USDT,4h,bullish_engulfing,bullish,0.0953,2041838.0,2.095240888857021,True,True,2
2026-03-20T06:55:20.271570+00:00,BYBIT,APEX/USDT,4h,bearish_engulfing,bearish,0.2786,481016.08,2.9949902006052542,True,True,2
2026-03-20T06:55:20.936775+00:00,BYBIT,APEX/USDT:USDT,4h,bearish_engulfing,bearish,0.2789,243033.6,2.962370197598759,True,True,2
2026-03-20T06:55:22.064329+00:00,BYBIT,APR/USDT:USDT,15m,rsi_oversold,mixed,0.13916,483355.0,3.3548071424347494,True,True,2
2026-03-20T06:55:22.177463+00:00,BYBIT,APR/USDT:USDT,1h,rsi_oversold,mixed,0.13916,6844406.0,4.38872930011509,True,True,2
2026-03-20T06:55:22.286611+00:00,BYBIT,APR/USDT:USDT,4h,"bearish_engulfing,rsi_oversold",bearish,0.13916,19374971.0,7.821749235824129,True,True,3
2026-03-20T06:55:22.838472+00:00,BYBIT,APT/USDT,1h,rsi_overbought,mixed,1.02,212151.51,1.258165245797237,True,True,2
